Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,League Name,League ID,Season
1.0,Sat,2019-08-24,18:00,Parma,0.4,0–1,1.3,Juventus,20073.0,Stadio Ennio Tardini,Fabio Maresca,Serie-A,11,2019-2020
1.0,Sat,2019-08-24,20:45,Fiorentina,1.7,3–4,2.0,Napoli,33614.0,Stadio Artemio Franchi,Davide Massa,Serie-A,11,2019-2020
1.0,Sun,2019-08-25,18:00,Udinese,0.9,1–0,0.4,Milan,24584.0,Dacia Arena,Fabrizio Pasqua,Serie-A,11,2019-2020
1.0,Sun,2019-08-25,20:45,Torino,1.2,2–1,1.5,Sassuolo,16536.0,Stadio Olimpico di Torino,Maurizio Mariani,Serie-A,11,2019-2020
1.0,Sun,2019-08-25,20:45,SPAL,1.6,2–3,1.7,Atalanta,11706.0,Stadio Paolo Mazza,Gianluca Manganiello,Serie-A,11,2019-2020
1.0,Sun,2019-08-25,20:45,Roma,1.9,3–3,1.3,Genoa,38779.0,Stadio Olimpico,Giampaolo Calvarese,Serie-A,11,2019-2020
1.0,Sun,2019-08-25,20:45,Hellas Verona,0.2,1–1,1.6,Bologna,16324.0,Stadio Marc'Antonio Bentegodi,Antonio Giua,Serie-A,11,2019-2020
1.0,Sun,2019-08-25,20:45,Cagliari,1.0,0–1,1.5,Brescia,16099.0,Sardegna Arena,Eugenio Abbattista,Serie-A,11,2019-2020
1.0,Sun,2019-08-25,20:45,Sampdoria,0.8,0–3,2.3,Lazio,19500.0,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Serie-A,11,2019-2020
1.0,Mon,2019-08-26,20:45,Inter,1.7,4–0,0.7,Lecce,64188.0,Stadio Giuseppe Meazza,Federico La Penna,Serie-A,11,2019-2020
,,,,,,,,,,,,Serie-A,11,2019-2020
2.0,Fri,2019-08-30,20:45,Bologna,2.8,1–0,0.7,SPAL,25086.0,Stadio Renato Dall'Ara,Marco Di Bello,Serie-A,11,2019-2020
2.0,Sat,2019-08-31,18:00,Milan,1.5,1–0,0.6,Brescia,56691.0,Stadio Giuseppe Meazza,Rosario Abisso,Serie-A,11,2019-2020
2.0,Sat,2019-08-31,20:45,Juventus,1.4,4–3,1.4,Napoli,39203.0,Allianz Stadium,Daniele Orsato,Serie-A,11,2019-2020
2.0,Sun,2019-09-01,18:00,Lazio,1.9,1–1,1.3,Roma,52000.0,Stadio Olimpico,Marco Guida,Serie-A,11,2019-2020
2.0,Sun,2019-09-01,20:45,Atalanta,2.0,2–3,1.1,Torino,8182.0,Stadio Ennio Tardini,Daniele Doveri,Serie-A,11,2019-2020
2.0,Sun,2019-09-01,20:45,Cagliari,0.4,1–2,1.5,Inter,16412.0,Sardegna Arena,Fabio Maresca,Serie-A,11,2019-2020
2.0,Sun,2019-09-01,20:45,Lecce,1.3,0–1,1.4,Hellas Verona,24418.0,Stadio Comunale Via Del Mare,Juan Sacchi,Serie-A,11,2019-2020
2.0,Sun,2019-09-01,20:45,Udinese,1.5,1–3,0.6,Parma,20410.0,Dacia Arena,Marco Piccinini,Serie-A,11,2019-2020
2.0,Sun,2019-09-01,20:45,Genoa,2.1,2–1,1.9,Fiorentina,20000.0,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Serie-A,11,2019-2020
2.0,Sun,2019-09-01,20:45,Sassuolo,1.6,4–1,1.5,Sampdoria,9608.0,Stadio Citt del Tricolore,Luca Pairetto,Serie-A,11,2019-2020
3.0,Sat,2019-09-14,15:00,Fiorentina,1.6,0–0,0.3,Juventus,40000.0,Stadio Artemio Franchi,Massimiliano Irrati,Serie-A,11,2019-2020
3.0,Sat,2019-09-14,18:00,Napoli,1.3,2–0,1.5,Sampdoria,40000.0,Stadio San Paolo,Federico La Penna,Serie-A,11,2019-2020
3.0,Sat,2019-09-14,20:45,Inter,1.4,1–0,0.4,Udinese,57991.0,Stadio Giuseppe Meazza,Maurizio Mariani,Serie-A,11,2019-2020
3.0,Sun,2019-09-15,12:30,Genoa,1.4,1–2,2.5,Atalanta,23395.0,Stadio Comunale Luigi Ferraris,Michael Fabbri,Serie-A,11,2019-2020
3.0,Sun,2019-09-15,15:00,Parma,1.0,1–3,0.7,Cagliari,14068.0,Stadio Ennio Tardini,Fabrizio Pasqua,Serie-A,11,2019-2020
3.0,Sun,2019-09-15,15:00,Brescia,0.8,3–4,3.2,Bologna,15000.0,Stadio Mario Rigamonti,Gianluca Rocchi,Serie-A,11,2019-2020
3.0,Sun,2019-09-15,15:00,SPAL,1.1,2–1,1.5,Lazio,13650.0,Stadio Paolo Mazza,Giampaolo Calvarese,Serie-A,11,2019-2020
3.0,Sun,2019-09-15,18:00,Roma,2.1,4–2,1.2,Sassuolo,34407.0,Stadio Olimpico,Daniele Chiffi,Serie-A,11,2019-2020
3.0,Sun,2019-09-15,20:45,Hellas Verona,0.8,0–1,1.3,Milan,24363.0,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Serie-A,11,2019-2020
3.0,Mon,2019-09-16,20:45,Torino,2.0,1–2,1.2,Lecce,21620.0,Stadio Olimpico di Torino,Antonio Giua,Serie-A,11,2019-2020
4.0,Fri,2019-09-20,20:45,Cagliari,1.5,3–1,1.3,Genoa,14574.0,Sardegna Arena,Gianluca Manganiello,Serie-A,11,2019-2020
4.0,Sat,2019-09-21,15:00,Udinese,0.6,0–1,0.7,Brescia,19611.0,Dacia Arena,Paolo Valeri,Serie-A,11,2019-2020
4.0,Sat,2019-09-21,18:00,Juventus,2.0,2–1,1.2,Hellas Verona,39945.0,Allianz Stadium,Federico La Penna,Serie-A,11,2019-2020
4.0,Sat,2019-09-21,20:45,Milan,0.8,0–2,1.9,Inter,70440.0,Stadio Giuseppe Meazza,Daniele Doveri,Serie-A,11,2019-2020
4.0,Sun,2019-09-22,12:30,Sassuolo,2.4,3–0,1.0,SPAL,10937.0,Stadio Citt del Tricolore,Maurizio Mariani,Serie-A,11,2019-2020
4.0,Sun,2019-09-22,15:00,Lecce,1.2,1–4,2.8,Napoli,21644.0,Stadio Comunale Via Del Mare,Marco Piccinini,Serie-A,11,2019-2020
4.0,Sun,2019-09-22,15:00,Bologna,1.4,1–2,1.5,Roma,25513.0,Stadio Renato Dall'Ara,Luca Pairetto,Serie-A,11,2019-2020
4.0,Sun,2019-09-22,15:00,Sampdoria,1.2,1–0,0.6,Torino,19041.0,Stadio Comunale Luigi Ferraris,Piero Giacomelli,Serie-A,11,2019-2020
4.0,Sun,2019-09-22,18:00,Atalanta,1.1,2–2,0.9,Fiorentina,10314.0,Stadio Ennio Tardini,Daniele Orsato,Serie-A,11,2019-2020
4.0,Sun,2019-09-22,20:45,Lazio,2.2,2–0,0.7,Parma,31404.0,Stadio Olimpico,Rosario Abisso,Serie-A,11,2019-2020
5.0,Tue,2019-09-24,19:00,Hellas Verona,1.0,0–0,0.8,Udinese,13740.0,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Serie-A,11,2019-2020
5.0,Tue,2019-09-24,21:00,Brescia,0.9,1–2,1.7,Juventus,14000.0,Stadio Mario Rigamonti,Fabrizio Pasqua,Serie-A,11,2019-2020
5.0,Wed,2019-09-25,19:00,Roma,1.7,0–2,1.9,Atalanta,31832.0,Stadio Olimpico,Massimiliano Irrati,Serie-A,11,2019-2020
5.0,Wed,2019-09-25,21:00,Parma,1.5,1–0,0.5,Sassuolo,14569.0,Stadio Ennio Tardini,Livio Marinelli,Serie-A,11,2019-2020
5.0,Wed,2019-09-25,21:00,Inter,1.4,1–0,1.1,Lazio,56175.0,Stadio Giuseppe Meazza,Fabio Maresca,Serie-A,11,2019-2020
5.0,Wed,2019-09-25,21:00,SPAL,1.1,1–3,2.0,Lecce,13292.0,Stadio Paolo Mazza,Gianluca Rocchi,Serie-A,11,2019-2020
5.0,Wed,2019-09-25,21:00,Fiorentina,1.9,2–1,0.6,Sampdoria,33469.0,Stadio Artemio Franchi,Daniele Doveri,Serie-A,11,2019-2020
5.0,Wed,2019-09-25,21:00,Napoli,2.1,0–1,0.3,Cagliari,25408.0,Stadio San Paolo,Marco Di Bello,Serie-A,11,2019-2020
5.0,Wed,2019-09-25,21:00,Genoa,0.2,0–0,1.7,Bologna,20497.0,Stadio Comunale Luigi Ferraris,Davide Massa,Serie-A,11,2019-2020
5.0,Thu,2019-09-26,21:00,Torino,1.3,2–1,2.1,Milan,23997.0,Stadio Olimpico di Torino,Marco Guida,Serie-A,11,2019-2020
6.0,Sat,2019-09-28,15:00,Juventus,2.0,2–0,0.3,SPAL,38995.0,Allianz Stadium,Marco Piccinini,Serie-A,11,2019-2020
6.0,Sat,2019-09-28,18:00,Sampdoria,1.4,1–3,2.4,Inter,23694.0,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Serie-A,11,2019-2020
6.0,Sat,2019-09-28,20:45,Sassuolo,0.6,1–4,2.1,Atalanta,11604.0,Stadio Citt del Tricolore,Paolo Valeri,Serie-A,11,2019-2020
